MemoryArea Microseconds
0 1
1 3
2 6
3 2
4 1
5 2
6 4
7 1
8 1
9 1
10 1
11 4
12 2
13 1
14 1
15 2
16 2
17 2
18 6
19 1
20 1
21 2
22 4
23 2
24 0
25 6
26 3
27 1
28 1
29 2
30 1
31 4
32 4
33 4
34 3
35 4
36 3
37 3
38 2
39 4
40 4
41 3
42 3
43 3
44 2
45 3
46 3
47 4
48 2
49 2
