16 6480478.00 0.00000 103687648.00
32 6456927.60 0.00000 206621683.20
64 6490990.60 0.00000 415423398.40
128 6434470.60 0.00000 823612236.80
256 6502604.80 0.00000 1664666828.80
512 6486084.00 0.00000 3320875008.00
1024 6507468.60 0.00000 6663647846.40
2048 6523580.40 0.00000 13360292659.20
4096 6466330.80 0.00000 26486090956.80
16 6527649.00 0.00000 104442384.00
32 7073369.20 0.00000 226347814.40
64 7082188.00 0.00000 453260032.00
128 7091267.80 0.00000 907682278.40
256 7102388.80 0.00000 1818211532.80
16 7140150.60 0.00000 114242409.60
32 7163753.40 0.00000 229240108.80
64 7130920.00 0.00000 456378880.00
128 7164329.80 0.00000 917034214.40
256 7025895.40 0.00000 1798629222.40
512 7045919.60 0.00000 3607510835.20
1024 2183125.00 0.00000 2235520000.00
2048 1646255.20 0.00000 3371530649.60
4096 1624052.00 0.00000 6652116992.00
16 7094261.20 0.00000 113508179.20
32 7081523.40 0.00000 226608748.80
64 7085792.00 0.00000 453490688.00
128 7083740.40 0.00000 906718771.20
256 7096628.80 0.00000 1816736972.80
512 7041911.60 0.00000 3605458739.20
1024 3690480.80 0.00000 3779052339.20
2048 6963783.40 0.00000 14261828403.20
4096 7126922.60 0.00000 29191874969.60
16 347.00 0.00070 5552.00
32 174.60 0.00070 5587.20
64 87.40 0.00070 5593.60
128 44.40 0.00069 5683.20
256 23.40 0.00065 5990.40
512 18.80 0.00041 9625.60
1024 13.20 0.00029 13516.80
2048 8.40 0.00023 17203.20
4096 8.60 0.00011 35225.60
16 346.00 0.00071 5536.00
32 171.80 0.00071 5497.60
64 86.40 0.00071 5529.60
16 340.40 0.00072 5446.40
32 173.20 0.00070 5542.40
64 85.10 0.00072 5446.40
128 16.60 0.00184 2124.80
256 20.20 0.00076 5171.20
512 23.30 0.00033 11929.60
1024 22.80 0.00017 23347.20
2048 22.90 0.00008 46899.20
16 342.20 0.00071 5475.20
32 174.40 0.00070 5580.80
64 87.60 0.00070 5606.40
128 17.80 0.00171 2278.40
256 1.70 0.00898 435.20
512 1.50 0.00509 768.00
1024 1.70 0.00224 1740.80
2048 1.50 0.00127 3072.00
4096 2.30 0.00041 9420.80
16 336.60 0.00073 5385.60
32 168.40 0.00072 5388.80
64 86.80 0.00070 5555.20
128 42.60 0.00072 5452.80
256 20.80 0.00073 5324.80
512 7.60 0.00100 3891.20
1024 1.80 0.00212 1843.20
2048 0.60 0.00318 1228.80
4096 0.80 0.00119 3276.80
32 870.00 0.00014 27840.00
64 1294.80 0.00005 82867.20
128 1388.80 0.00002 177766.40
256 1217.80 0.00001 311756.80
512 1220.40 0.00001 624844.80
1024 1407.60 0.00000 1441382.40
2048 1172.80 0.00000 2401894.40
4096 1588.00 0.00000 6504448.00
8192 1184.00 0.00000 9699328.00
16384 1567.00 0.00000 25673728.00
32 895.00 0.00014 28640.00
64 1532.40 0.00004 98073.60
128 1051.20 0.00003 134553.60
256 1478.60 0.00001 378521.60
512 1088.20 0.00001 557158.40
1024 1514.40 0.00000 1550745.60
2048 903.40 0.00000 1850163.20
4096 1250.40 0.00000 5121638.40
8192 1601.40 0.00000 13118668.80
16384 788.00 0.00000 12910592.00
32 472.80 0.00026 15129.60
64 481.20 0.00013 30796.80
128 477.20 0.00006 61081.60
256 478.00 0.00003 122368.00
512 476.60 0.00002 244019.20
1024 478.20 0.00001 489676.80
2048 467.60 0.00000 957644.80
4096 465.20 0.00000 1905459.20
8192 477.80 0.00000 3914137.60
16384 479.00 0.00000 7847936.00
32 467.65 0.00026 14964.80
64 476.30 0.00013 30483.20
128 486.80 0.00006 62310.40
256 481.95 0.00003 123379.20
512 475.75 0.00002 243584.00
1024 475.55 0.00001 486963.20
2048 471.50 0.00000 965632.00
4096 480.55 0.00000 1968332.80
8192 486.05 0.00000 3981721.60
16384 485.30 0.00000 7951155.20
32 475.80 0.00026 15225.60
64 480.40 0.00013 30745.60
128 476.60 0.00006 61004.80
256 479.60 0.00003 122777.60
32 477.00 0.00026 15264.00
32 486.90 0.00025 15580.80
32 6040943.60 0.00000 193310195.20
64 5677634.50 0.00000 363368608.00
32 6557.30 0.00002 209833.60
64 6396.00 0.00001 409344.00
128 6387.90 0.00000 817651.20
256 1954.90 0.00001 500454.40
512 1840.00 0.00000 942080.00
