1 13596 2120 47
2 13600 2120 69
4 13600 2120 86
8 13600 2120 170
16 13600 2120 592
32 13600 2120 1117
64 13600 2120 1630
128 13600 2120 2841
256 13600 2120 5403
512 13600 2120 10202
1024 13600 2120 15471
2048 13600 2120 18301
4096 13600 2120 29498
8192 13600 2120 52442
16384 13600 2120 98053
