Allocated VM RAM
0 13696 2116
1 14724 3172
2 15752 4228
3 16780 5284
4 17808 6340
5 18836 7396
6 19864 8452
7 20892 9508
8 21920 10564
9 22948 11356
10 23976 12412
11 25004 13468
12 26032 14524
13 27060 15580
14 28088 16636
15 29116 17692
16 30144 18748
17 31172 19540
18 32200 20596
19 33228 21652
